VARIABLE,DEFAULT_VALUE,CUSTOM_VALUE
global.searchProductAddProduct.searchBySkuOrName,Search by SKU or product name,Cerca per SKU o nome del prodotto
global.searchProductAddProduct.searchProduct,Search product,Cerca prodotto
global.searchProductAddProduct.businessAccountPendingApproval,Your business account is pending approval. This feature is currently disabled.,Il tuo account aziendale è in attesa di approvazione. 
global.searchProductAddProduct.sku,SKU#,
global.searchProductAddProduct.qty,Qty,Qtà
global.customStyles.masqueradeButton,END MASQUERADE,FINE MASCHERATA
global.customStyles.addQuoteBtn,Add to quote,Aggiungi al preventivo
global.customStyles.floatingAction,Finish quote,Completa preventivo
global.customStyles.addToAllQuoteBtn,Add All To Quote,Aggiungi tutto al preventivo
global.customStyles.shoppingListBtn,Add to Shopping List,Aggiungi alla lista della spesa
global.masquerade.youAreMasqueradeAs,You are masquerade as,Sei mascherato da
global.companyCredit.alert,Your account does not currently allow purchasing due to a credit hold. Please contact us to reconcile.,Il tuo account attualmente non consente acquisti a causa di una sospensione del credito. 
global.B3Upload.downloadErrorResults,Download error results,Scarica i risultati degli errori
global.statusNotifications.orderingWillBeEnabledAfterAccountApproval,Your business account is pending approval. Ordering will be enabled after account approval.,Il tuo account aziendale è in attesa di approvazione. 
global.statusNotifications.productsPricingAndOrderingWillBeEnabledAfterApproval,Your business account is pending approval. Products pricing and ordering will be enabled after account approval,Il tuo account aziendale è in attesa di approvazione. 
global.statusNotifications.willGainAccessToBusinessFeatAfterApproval,Your business account is pending approval. You will gain access to business account features after account approval.,Il tuo account aziendale è in attesa di approvazione. 
global.statusNotifications.willGainAccessToBusinessFeatProductsAndPricingAfterApproval,Your business account is pending approval. You will gain access to business account features products and pricing after account approval.,Il tuo account aziendale è in attesa di approvazione. 
global.statusNotifications.checkEmailLetterWithDetails,Your business account has been approved. Check your email inbox we sent you a letter with all details.,Il tuo account aziendale è stato approvato. 
global.statusNotifications.checkEmailLetterWithDetailsResubmitApplication,Your business account has been rejected. Check your email inbox we sent you a letter with all details. You can resubmit your application.,Il tuo account aziendale è stato rifiutato. 
global.statusNotifications.accountRejectedOrderingDisabled,Your business account has been rejected. Ordering is disabled.,Il tuo account aziendale è stato rifiutato. 

dashboard.company,Company,Azienda
dashboard.admin,Admin,Ammin
dashboard.email,Email,E-mail
dashboard.action,Action,Azione
dashboard.selected,Selected,Selezionato
dashboard.masqueradeAction,Masquerade,Mascherata
dashboard.endMasqueradeAction,End Masquerade,Fine della mascherata

orders.order,Order,Ordine
orders.poReference,PO / Reference,PO/Riferimento
orders.grandTotal,Grand total,totale
orders.orderStatus,Order status,Stato dell'ordine
orders.placedBy,Placed by,Inserito da
orders.createdOn,Created on,Creato il
orders.company,Company,Azienda
orders.from,From,Da
orders.to,To,A
orders.status.incomplete,Incomplete,Incompleto
orders.status.pending,Pending,In attesa di
orders.status.shipped,Shipped,Spedito
orders.status.partiallyShipped,Partially Shipped,Parzialmente spedito
orders.status.refunded,Refunded,Rimborsato
orders.status.cancelled,Cancelled,Annullato
orders.status.declined,Declined,Rifiutato
orders.status.awaitingPayment,Awaiting Payment,In attesa di pagamento
orders.status.awaitingPickup,Awaiting Pickup,In attesa di ritiro
orders.status.awaitingShipment,Awaiting Shipment,In attesa di spedizione
orders.status.completed,Completed,Completato
orders.status.awaitingFulfillment,Awaiting Fulfillment,In attesa di adempimento
orders.status.manualVerificationRequired,Manual Verification Required,Verifica manuale obbligatoria
orders.status.disputed,Disputed,Contestato
orders.status.partiallyRefunded,Partially Refunded,Parzialmente rimborsato

invoice.exportCsvText,Export all as CSV,Esporta tutto come CSV
invoice.exportSelectedAsCsv,Export selected as CSV,Esporta selezionato come CSV
invoice.exportFilteredAsCsv,Export filtered as CSV,Esportazione filtrata come CSV
invoice.pdfUrlResolutionError,pdf url resolution error,Errore di risoluzione dell'URL del pdf
invoice.headers.invoice,Invoice,Fatture
invoice.headers.order,Order,Ordine
invoice.headers.invoiceDate,Invoice date,Data della fattura
invoice.headers.dueDate,Due date,Scadenza
invoice.headers.invoiceTotal,Invoice total,Totale fattura
invoice.headers.amountDue,Amount due,Importo dovuto
invoice.headers.amountToPay,Amount to pay,Importo da pagare
invoice.headers.status,Status,Stato
invoice.headers.action,Action,Azione
invoice.filter.from,From,Da
invoice.filter.to,To,A
invoice.openUnpaid,Open: {unpaid},Aperto: {unpaid}
invoice.overdueAmount,Overdue: {overdue},In ritardo: {overdue}
invoice.invoiceItemCardHeader.order,Order,Ordine
invoice.invoiceItemCardHeader.invoiceDate,Invoice date,Data della fattura
invoice.invoiceItemCardHeader.dueDate,Due date,Scadenza
invoice.invoiceItemCardHeader.invoiceTotal,Invoice total,Totale fattura
invoice.invoiceItemCardHeader.amountDue,Amount due,Importo dovuto
invoice.invoiceItemCardHeader.amountToPay,Amount to pay,Importo da pagare
invoice.footer.invalidNameError,The payment amount entered has an invalid value.,L'importo del pagamento inserito ha un valore non valido.
invoice.footer.invoiceSelected,{invoices} invoices selected,{invoices} fatture selezionate
invoice.footer.totalPayment,Total payment: {total},Pagamento totale: {total}
invoice.footer.payInvoices,Pay invoices,Pagare le fatture
invoice.paymentHistory.title,Payments history,Cronologia dei pagamenti
invoice.actions.viewInvoice,View invoice,Visualizza fattura
invoice.actions.viewOrder,View order,Visualizza ordine
invoice.actions.viewPaymentHistory,View payment history,Visualizza la cronologia dei pagamenti
invoice.actions.pay,Pay,Paga
invoice.actions.print,Print,Stampa
invoice.actions.download,Download,Scaricamento
invoice.filterStatus.title,Status,Stato
invoice.filterStatus.open,Open,Aperto
invoice.filterStatus.partiallyPaid,Partially paid,Parzialmente pagato
invoice.filterStatus.paid,Paid,Pagato
invoice.filterStatus.overdue,Overdue,In ritardo

quotes.dateCreated,Date created,Data di creazione
quotes.status,Status,Stato
quotes.updated,Updated,Aggiornato
quotes.expiration,Expiration,Scadenza
quotes.sortBy,Sort by,Ordina per
quotes.open,Open,Aperto
quotes.ordered,Ordered,Ordinato
quotes.expired,Expired,Scaduto
quotes.quoteStatus,Quote status,Stato del preventivo
quotes.createdBy,Created by,Creato da
quotes.salesRep,Sales rep,Rappresentante delle vendite
quotes.quoteNumber,Quote #,Preventivo #
quotes.title,Title,Titolo
quotes.lastUpdate,Last update,Ultimo aggiornamento
quotes.expirationDate,Expiration date,Data di scadenza
quotes.subtotal,Subtotal,Totale parziale
quotes.from,From,Da
quotes.to,To,A
quotes.cardsPerPage,Cards per page,Carte per pagina
quotes.quotesPerPage,Quotes per page,Preventivi per pagina
quotes.quoteItemCard.title,Title,Titolo
quotes.quoteItemCard.salesRep,Sales rep,Rappresentante delle vendite
quotes.quoteItemCard.createdBy,Created by,Creato da
quotes.quoteItemCard.dateCreated,Date created,Data di creazione
quotes.quoteItemCard.lastUpdate,Last update,Ultimo aggiornamento
quotes.quoteItemCard.expirationDate,Expiration date,Data di scadenza
quotes.quoteItemCard.subtotal,Subtotal,Totale parziale
quotes.quoteItemCard.view,VIEW,VISUALIZZAZIONE

shoppingLists.createNew,Create new,Crea nuovo
shoppingLists.deleteSuccess,The shopping list was successfully deleted,La lista della spesa è stata cancellata con successo
shoppingLists.deleteShoppingList,Delete shopping list,Elimina la lista della spesa
shoppingLists.cancel,Cancel,Annulla
shoppingLists.delete,Delete,Eliminare
shoppingLists.close,Close,Vicino
shoppingLists.confirmDelete,Are you sure you want to delete this shopping list?,Sei sicuro di voler eliminare questa lista della spesa?
shoppingLists.addSuccess,The shopping list was successfully added,La lista della spesa è stata aggiunta con successo
shoppingLists.updateSuccess,The shopping list was successfully updated,La lista della spesa è stata aggiornata con successo
shoppingLists.duplicateSuccess,The shopping list was successfully duplicated,La lista della spesa è stata duplicata con successo
shoppingLists.edit,Edit shopping list,Modifica la lista della spesa
shoppingLists.createNewShoppingList,Create new shopping list,Crea una nuova lista della spesa
shoppingLists.duplicateShoppingList,Duplicate shopping list,Lista della spesa duplicata
shoppingLists.save,Save,Salva
shoppingLists.name,Name,Nome
shoppingLists.title,Add to list,Aggiungi all'elenco
shoppingLists.addButtonText,Add to list,Aggiungi all'elenco
shoppingLists.description,Description,Descrizione
shoppingLists.card.createdBy,Created by:,Creato da:
shoppingLists.card.products,Products:,Prodotti:
shoppingLists.card.lastActivity,Last activity:,Ultima attività:
shoppingLists.card.view,View,Visualizzazione
shoppingLists.viewShoppingList,View shopping list,Visualizza la lista della spesa

purchasedProducts.product,Product,Prodotto
purchasedProducts.price,Price,Prezzo
purchasedProducts.qty,Qty,Qtà
purchasedProducts.total,Total,Totale
purchasedProducts.lastOrdered,Last ordered,Ultimo ordinato
purchasedProducts.totalProducts,{total} products,{total} prodotti
purchasedProducts.from,From,Da
purchasedProducts.to,To,A
purchasedProducts.itemsPerPage,Items per page:,Articoli per pagina:
purchasedProducts.noProductsFound,No products found,Nessun prodotto trovato
purchasedProducts.outOfStock,Out of stock,Esaurito
purchasedProducts.minQuantity,Min Quantity {minQuantity},Quantità minima {minQuantity}
purchasedProducts.maxQuantity,Max Quantity {maxQuantity},Quantità massima {maxQuantity}
purchasedProducts.orderDialog.addToShoppingList,Add to shopping list,Aggiungi alla lista della spesa
purchasedProducts.quickOrderCard.price,Price: {price},Prezzo: {price}
purchasedProducts.orderCheckboxProduct.price,Price:,Prezzo:
purchasedProducts.orderCheckboxProduct.qty,Qty,Qtà
purchasedProducts.orderCheckboxProduct.total,Total:,Totale:
purchasedProducts.quickOrderCard.lastOrdered,Last ordered: {lastOrderedAt},Ultimo ordine: {lastOrderedAt}
purchasedProducts.quickOrderPad.productsAdded,Products were added to cart,I prodotti sono stati aggiunti al carrello
purchasedProducts.quickOrderPad.viewCart,VIEW CART,VISUALIZZA CARRELLO
purchasedProducts.quickOrderPad.insufficientStockSku,"{sku} does not have enough stock, please change the quantity","{sku} non ha abbastanza scorte, modifica la quantità  "
purchasedProducts.quickOrderPad.notEnoughStock,{variantSku} does not have enough stock,{variantSku} non ha abbastanza scorte
purchasedProducts.quickOrderPad.availableAmount,Available amount - {availableAmount},Importo disponibile - {availableAmount}
purchasedProducts.quickOrderPad.outOfStockSku,{outOfStock} are out of stock,{outOfStock} sono esauriti
purchasedProducts.quickOrderPad.notPurchaseableSku,SKU {notPurchaseSku} cannot be purchased in online store.,Lo SKU {notPurchaseSku} non può essere acquistato nel negozio online.
purchasedProducts.quickOrderPad.minQuantityMessage,You need to purchase a minimum of {minQuantity} of the {sku} per order.,Devi acquistare un minimo di {minQuantity} di {sku} per ordine.
purchasedProducts.quickOrderPad.accountPendingApproval,Your business account is pending approval. This feature is currently disabled.,Il tuo account aziendale è in attesa di approvazione. 
purchasedProducts.quickOrderPad.maxQuantityMessage,You need to purchase a maximum of {maxQuantity} of the {sku} per order.,Devi acquistare un massimo di {maxQuantity} di {sku} per ordine.
purchasedProducts.quickOrderPad.addNProductsToCart,Add {quantity} products to cart,Aggiungi {quantity} prodotti al carrello
purchasedProducts.quickOrderPad.addProductsToCart,Add products to cart,Aggiungi prodotti al carrello
purchasedProducts.quickOrderPad.quickOrderPad,Quick order pad,Blocco ordini rapido
purchasedProducts.quickOrderPad.bulkUploadCSV,Bulk upload CSV,Caricamento collettivo CSV
purchasedProducts.quickOrderPad.downloadErrorsCSV,Download errors csv,Scarica i risultati degli errori
purchasedProducts.quickOrderPad.addToCart,Add to cart,Aggiungi al carrello
purchasedProducts.quickAdd.addProductToList,Add product to list,Aggiungi prodotto all'elenco
purchasedProducts.quickAdd.title,Quick add,Aggiunta rapida
purchasedProducts.quickAdd.showMoreRowsButton,Show more rows,Mostra più righe
purchasedProducts.quickAdd.sku,SKU#,
purchasedProducts.quickAdd.qty,Qty,Qtà
purchasedProducts.quickAdd.incorrectNumber,Incorrect number,Numero errato
purchasedProducts.quickAdd.notFoundSku,"SKU {notFoundSku} were not found, please check entered values","{count, plural, one {SKU {notFoundSku} non è stato trovato} other {SKU {notFoundSku} non è stato trovato}}, controlla i valori inseriti"
purchasedProducts.quickAdd.notPurchaseableSku,SKU {notPurchaseSku} no longer for sale,SKU {notPurchaseSku} non più in vendita
purchasedProducts.quickAdd.insufficientStockSku,"{stockSku} does not have enough stock, please change the quantity","{stockSku} non ha abbastanza scorte, modifica la quantità "
purchasedProducts.quickAdd.purchaseQuantityLimitMessage,You need to purchase a {typeText} of {limit} of the {sku} per order,Devi acquistare un {typeText} di {limit} dello {sku} per ordine
purchasedProducts.footer.selectOneItemToAdd,Please select at least one item to add to cart,Seleziona almeno un articolo da aggiungere al carrello
purchasedProducts.footer.productsAdded,Products were added to cart,"{count, plural, un {{count} prodotto è stato aggiunto al carrello} altri {{count} prodotti sono stati aggiunti al carrello}}"
purchasedProducts.footer.productsLimit,The quantity of each product in Quote is 1-1000000.,La quantità di ciascun prodotto in preventivo è 1-1.000.000.
purchasedProducts.footer.viewCart,VIEW CART,VISUALIZZA CARRELLO
purchasedProducts.footer.cantAddProductsNoSku,Can not add products without SKU.,Impossibile aggiungere prodotti senza SKU.
purchasedProducts.footer.notFoundSku,{sku} not found,{sku} non trovato
purchasedProducts.footer.productsAddedToQuote,Products were added to your quote,I prodotti sono stati aggiunti al tuo preventivo
purchasedProducts.footer.viewQuote,VIEW QUOTE,VISUALIZZA PREVENTIVO
purchasedProducts.footer.productsAddedToShoppingList,Products were added to your shopping list,I prodotti sono stati aggiunti alla tua lista della spesa
purchasedProducts.footer.addToCart,Add selected to cart,Aggiungi selezionato al carrello
purchasedProducts.footer.addToQuote,Add selected to quote,Aggiungi selezionato al preventivo
purchasedProducts.footer.addSelectedProductsToShoppingList,Add selected to shopping list,Aggiungi selezionato alla lista della spesa
purchasedProducts.footer.selectedProducts,{quantity} products selected,{quantity} prodotti selezionati
purchasedProducts.footer.subtotal,Subtotal: {subtotal},Totale parziale: {subtotal}
purchasedProducts.footer.addToShoppingList,Add to shopping list,Aggiungi alla lista della spesa
purchasedProducts.footer.addSelectedTo,Add selected to,Aggiungi selezionato a
purchasedProducts.success.successfulApplication,"The application is successful, please wait for the merchant's review","La richiesta è andata a buon fine, attendi la revisione del commerciante"
purchasedProducts.error.returnedQuantityShouldBeWithinThePurchase,The returned quantity should be within the purchased quantity,La quantità restituita deve rientrare nella quantità acquistata
purchasedProducts.error.selectOneItem,Please select at least one item,Seleziona almeno un elemento
purchasedProducts.error.fillCorrectQuantity,Please fill in the correct quantity,Si prega di inserire la quantità corretta
purchasedProducts.error.failedApplication,"Application failed, please contact the merchant.","Richiesta non riuscita, contatta il commerciante."

orderDetail.orderId,Order #{orderId},Ordine n.{orderId}
orderDetail.purchaseOrderNumber,", {purchaseOrderNumber}",
orderDetail.backToOrders,Back to orders,Torniamo agli ordini
orderDetail.pagination.order,Order,Ordine
orderDetail.pagination.of,of,Di
orderDetail.paymentMethod,Payment by {paymentMethod},Pagamento tramite {paymentMethod}
orderDetail.customerName,{firstName} {lastName},
orderDetail.customerAddress,"{city}, {state} {zip}, {country}",
orderDetail.itemComments,Comments: {item},Commenti: {item}
orderDetail.reorder,Re-Order,Riordina
orderDetail.reorder.productsAdded,Products are added to cart,I prodotti vengono aggiunti al carrello
orderDetail.reorder.product,Product,Prodotto
orderDetail.reorder.price,Price,Prezzo
orderDetail.reorder.qty,Qty,Qtà
orderDetail.reorder.total,Total,Totale
orderDetail.return,Return,Ritorno
orderDetail.addToShoppingList,ADD TO SHOPPING LIST,AGGIUNGI ALLA LISTA DELLA SPESA
orderDetail.purchaseDetails,Purchased by {name} on {updatedAt}.,Acquistato da {name} il {updatedAt}.
orderDetail.summary,Summary,Riepilogo
orderDetail.paidInFull,Paid in full on {paidDate},Pagato per intero il {paidDate}
orderDetail.paidWithPo,PO Submitted on {paidDate},PO inviato il {paidDate}
orderDetail.payment,Payment,Pagamento
orderDetail.viewInvoice,view invoice,visualizzare la fattura
orderDetail.printInvoice,print invoice,stampare la fattura
orderDetail.comments,Comments,Commenti
orderDetail.viewCart,View Cart,Visualizza carrello
orderDetail.history.title,History,Storia
orderDetail.history.dateHeader,Date,Data
orderDetail.history.statusHeader,Status,Stato
orderDetail.orderCard.reorder,Re-Order,Riordina
orderDetail.orderCard.return,Return,Ritorno
orderDetail.orderCard.addToShoppingList,Add to shopping list,Aggiungi alla lista della spesa
orderDetail.orderCard.reorderDescription,Select products and quantity for reorder,Seleziona i prodotti e la quantità per il riordine
orderDetail.orderCard.returnDescription,Select products and quantity for return,Seleziona i prodotti e la quantità per il reso
orderDetail.orderCard.addToShoppingListDescription,Select products and quantity to add to shopping list,Seleziona i prodotti e la quantità da aggiungere alla lista della spesa
orderDetail.orderCard.reorderConfirmText,Add to cart,Aggiungi al carrello
orderDetail.orderCard.returnConfirmText,Submit return request,Invia richiesta di reso
orderDetail.orderCard.addToShoppingListConfirmText,Add to shopping list,Aggiungi alla lista della spesa
orderDetail.orderCard.errorMasquerade,"To re-order, return or add product to shopping list, please masquerade","Per riordinare, restituire o aggiungere un prodotto alla lista della spesa, mascherati"
orderDetail.shipment.shipment,Shipment,Spedizione
orderDetail.shipment.notShippedYet,Not shipped yet,Non ancora spedito
orderDetail.billing.digitalProducts,Digital products,Prodotti digitali
orderDetail.summary.subTotal,Sub total,Sub totale
orderDetail.summary.shipping,Shipping,Spedizione
orderDetail.summary.handlingFee,Handling fee,Commissione di gestione
orderDetail.summary.tax,Tax,Tassare
orderDetail.summary.grandTotal,Grand total,totale
orderDetail.addToShoppingList.productsAdded,Products were added to your shopping list,I prodotti sono stati aggiunti alla tua lista della spesa
orderDetail.viewShoppingList,View shopping list,Visualizza la lista della spesa

addresses.noPermissionToAdd,"You do not have permission to add new address, please contact store owner","Non hai l'autorizzazione per aggiungere un nuovo indirizzo, contatta il proprietario del negozio"
addresses.noPermissionToEdit,"You do not have permission to edit address, please contact store owner","Non hai l'autorizzazione per modificare l'indirizzo, contatta il proprietario del negozio"
addresses.noPermissionToDelete,"You do not have permission to delete address, please contact store owner","Non hai l'autorizzazione per eliminare l'indirizzo, contatta il proprietario del negozio"
addresses.addNewAddress,Add new address,Aggiungi nuovo indirizzo
addresses.addressForm.newAddressAdded,New address is added,Viene aggiunto un nuovo indirizzo
addresses.addressForm.addressUpdated,Address updated successfully,Indirizzo aggiornato con successo
addresses.addressForm.addNewAddress,Add new address,Aggiungi nuovo indirizzo
addresses.addressForm.editAddress,Edit address,Modifica indirizzo
addresses.addressForm.cancel,Cancel,Annulla
addresses.addressForm.saveAddress,Save Address,Salva indirizzo
addresses.addressForm.selectAddressType,Select address type,Seleziona il tipo di indirizzo
addresses.addressItemCard.defaultShipping,Default shipping,Spedizione predefinita
addresses.addressItemCard.defaultBilling,Default billing,Fatturazione predefinita
addresses.addressItemCard.setAsDefault,Set as default,Imposta come predefinito
addresses.deleteAddressDialog.successfullyDeleted,Successfully deleted,Eliminato con successo
addresses.deleteAddressDialog.deleteAddress,Delete address,Elimina indirizzo
addresses.deleteAddressDialog.cancel,cancel,annulla
addresses.deleteAddressDialog.delete,delete,eliminare
addresses.deleteAddressDialog.confirmDelete,Are you sure you want to delete this address?,Sei sicuro di voler eliminare questo indirizzo?
addresses.setDefaultDialog.successfullySet,Successfully set,Impostato con successo
addresses.setDefaultDialog.setDefaultAddress,Set as default address,Imposta come indirizzo predefinito
addresses.setDefaultDialog.cancel,cancel,annulla
addresses.setDefaultDialog.setDefaultShippingAddress,Set as default shipping address,Imposta come indirizzo di spedizione predefinito
addresses.setDefaultDialog.setDefaultBillingAddress,Set as default billing address,Imposta come indirizzo di fatturazione predefinito
addresses.filter.city,City,Città
addresses.filter.state,State,Stato
addresses.filter.country,Country,Paese
addresses.editAddress.shipping,Shipping,Spedizione
addresses.editAddress.defaultShippingAddress,Default Shipping Address,Indirizzo di spedizione predefinito
addresses.editAddress.billing,Billing,Fatturazione
addresses.editAddress.defaultBillingAddress,Default Billing Address,Indirizzo di fatturazione predefinito
addresses.editAddress.addressLabel,Address label,Etichetta dell'indirizzo
addresses.editAddress.firstName,First name,Nome di battesimo
addresses.editAddress.lastName,Last name,Cognome
addresses.editAddress.company,Company,Azienda
addresses.editAddress.country,Country,Paese
addresses.editAddress.addressLine1,Address line 1,Indirizzo Linea 1
addresses.editAddress.addressLine2,Address line 2,Riga indirizzo 2
addresses.editAddress.city,City,Città
addresses.editAddress.state,State,Stato
addresses.editAddress.zipCode,Zip Code,Cap
addresses.editAddress.phoneNumber,Phone number,Numero di telefono

shoppingList.shoppingListStatusUpdated,Shopping list status updated successfully,Stato della lista della spesa aggiornato correttamente
shoppingList.productRemoved,Product removed from your shopping list,Prodotto rimosso dalla tua lista della spesa
shoppingList.addToShoppingList.productsAdded,Products were added to your shopping list,I prodotti sono stati aggiunti alla tua lista della spesa
shoppingList.addToShoppingList.skuNotAddable,SKU {notAddAble} cannot be added quickly,Lo SKU {notAddAble} non può essere aggiunto rapidamente
shoppingList.addToShoppingList.skuNotPurchasable,SKU {notPurchaseSku} cannot be purchased in online store.,Lo SKU {notPurchaseSku} non può essere acquistato nel negozio online.
shoppingList.addToShoppingList.addToList,Add to list,Aggiungi all'elenco
shoppingList.addToShoppingList.bulkUploadCsv,Bulk upload CSV,Caricamento collettivo CSV
shoppingList.quickAdd.addToShoppingList,Add product to list,Aggiungi prodotto all'elenco
shoppingList.quickAdd.skuNotFound,"SKU {notFoundSku} were not found, please check entered values","SKU {notFoundSku} non trovato, controlla i valori inseriti"
shoppingList.quickAdd.skuNotPurchasable,SKU {notPurchaseSku} no longer for sale,SKU {notPurchaseSku} non più in vendita
